Sync operation,Direction,Metronome Field,Metronome Field Type,Metronome Object,Metronome Parent Object (1),Notes,Salesforce Field,Salesforce Object,Transformation / Logic
Contract,Metronome → Salesforce,id,Text,Contract,,,Metronome Contract Id,Contract,This will initially be saved on Order and moved to Contract once an Order is Activated and Contracted
Contract,Salesforce → Metronome,custom field12,Text,Contract,,,Id,Order,The field value should be derived from the opportunity associated with the order
Contract,Salesforce → Metronome,custom field3,Text,Contract,,,Id,SBQQ__Quote__c,The field value should be derived from the opportunity associated with the order
Contract,Salesforce → Metronome,custom field1,Text,Contract,,,Id,Opportunity,The field value should be derived from the opportunity associated with the order
Contract Creation,Salesforce → Metronome,rate_card_id,Text,Contract,,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,The plan here is to save all these onetime config values in Salesforce Custom Metadata
Contract Creation,Salesforce → Metronome,name,Text,Contract,,,Account Name + OrderNumber,"Account, Order",The field value should be derived from the account associated with the order and the order number itself
Contract Creation,Salesforce → Metronome,starting_at,DateTime,Contract,,,Order Start Date,Order,The field value on the Order object is derived from the associated opportunity
Contract Creation,Salesforce → Metronome,customer_id,Text,Contract,,,Metronome_Customer_Id__c,Account,
Contract Creation,Salesforce → Metronome,ending_before,DateTime,Contract,,,Order EndDate,Order,The field value on the Order object is derived from the associated opportunity
"Customer Creation ",Metronome → Salesforce,id,Text,Customer,,This field does not exist in Salesforce. We will need to create a new custom field on Account object.,Metronome_Customer_Id__c,Account,The field value should be derived from the id attribute response.
Subscription,Salesforce → Metronome,billing_frequency,Text,subscription_rate,,,Billing Frequency,SBQQ__Quote__c,Retrieve this information from the Quote associated with the Order
Customer Creation,Salesforce → Metronome,netsuite customer id,Text,Customer,,This field does not exist in Metronome. We will need to create a new custom field in Metronome.,NetSuite_Customer_Id__c,Account,The field value should be derived from the account associated with the order.
Subscription Creation,Salesforce → Metronome,collection_schedule,Text,subscription_rate,,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata
Customer Creation,Salesforce → Metronome,name,Text,Customer,,,Name,Account,The field value should be derived from the account associated with the order.
"Subscription Creation ",Salesforce → Metronome,ending_before,Text,Subscription,,,Order EndDate,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Customer Creation —> Ingesting Aliases,Salesforce → Metronome,ingest_aliases,String[],Customer,,,Stripe_ID__c,Workspace_Junction__c,Use the opportunity associated with the order to retrieve Stripe IDs from the Workspace Junction object
Subscription Creation,Salesforce → Metronome,starting_at,Date,Subscription,,,Order ServiceDate,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Credits,Salesforce → Metronome,applicable_product_ids,Text,credits,Contract,,,,
Subscription Creation,Salesforce → Metronome,initial_quantity,Integer,Subscription,,,Ordered Quantity,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Credits,Salesforce → Metronome,priority,Integer,credits,Contract,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata	
Subscription Creation,Salesforce → Metronome,name,Text,Subscription,,,Product Name,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Credits,Salesforce → Metronome,amount,Integer,access_schedule,credits,,,Order Product,
Metronome Credits,Salesforce → Metronome,ending_before,DateTime,access_schedule,credits,,Order EndDate,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Credits,Salesforce → Metronome,starting_at,DateTime,access_schedule,credits,,Order ServiceDate,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Credits,Salesforce → Metronome,product_id,Text,credits,Contract,"This field does not exist in Salesforce. We will need to create a new custom field on Product, QuoteLine, and OrderItem",Metronome Product Id,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Recurring,Salesforce → Metronome,is_prorated,Boolean,apply_seat_increase_config,subscription_config,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata
Metronome Recurring,Salesforce → Metronome,allocation,Text,subscription_config,Contract,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata
Metronome Recurring,Salesforce → Metronome,unit,Integer,commit_duration,recurring_credits,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata
Metronome Recurring,Salesforce → Metronome,value,Integer,commit_duration,recurring_credits,,,Order Product,OPEN QUESTION FOR METRONOME
Metronome Recurring,Salesforce → Metronome,quantity,Integer,access_amount,recurring_credits,,Ordered Quantity,Order Product,Retrieve this information from the OrderItem associated with the Order
Metronome Recurring,Salesforce → Metronome,credit_type_id,Text,access_amount,recurring_credits,The plan here is to save all these onetime config values in Salesforce Custom Metadata,,,Retrieve this information from the custom metadata
Metronome Recurring,Salesforce → Metronome,unit_price,Integer,access_amount,recurring_credits,Send value as 0 for phase 1 since we are not invoicing in Metronome,UnitPrice,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Recurring,Salesforce → Metronome,proration,Text,recurring_credits,Contract,"This field does not exist in Salesforce. We will need to create a new custom field on Product, QuoteLine, and OrderItem",Metronome Proration,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Recurring,Salesforce → Metronome,recurrence_frequency,Text,recurring_credits,Contract,"This field does not exist in Salesforce. We will need to create a new custom field on Product, QuoteLine, and OrderItem",Metronome Recurrence Frequency,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
Metronome Recurring,Salesforce → Metronome,ending_before,Date,recurring_credits,Contract,,Order EndDate,Order Product,Retrieve this information from the https://notion.my.salesforce-setup.com/lightning/setup/ObjectManager/OrderItem/Details/view associated with the Order
